k, d, eigenvectors, rand
3, None, 2, 0.28905224553755665
3, None, 3, 0.3849156686133719
3, None, 4, 0.4875666824315091
3, None, 5, 0.4894281122170645
3, None, 6, 0.5017134535797279
3, None, 7, 0.6411298401789535
3, None, 8, 0.5741322527508748
3, None, 9, 0.5644375504396668
3, None, 10, 0.5970835200708858
