k, d, eigenvectors, rand
3, None, 2, 0.3547181253337635
3, None, 3, 0.430202332541019
3, None, 4, 0.5097772249765448
3, None, 5, 0.5588059250371317
3, None, 6, 0.7243867680230774
3, None, 7, 0.7375316464647519
3, None, 8, 0.7089458195482846
3, None, 9, 0.6251677144772585
3, None, 10, 0.6172302619476131
