k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.003, 3.3333333333333335, 11, 0.5463656300536237, 0.9963835692855805
16, 1000, 0.01, 0.003, 3.3333333333333335, 12, 0.5458621511467403, 0.9947427089193074
16, 1000, 0.01, 0.003, 3.3333333333333335, 13, 0.545410752360765, 0.9931980803487719
16, 1000, 0.01, 0.003, 3.3333333333333335, 14, 0.54666837913303, 0.9922156626976687
16, 1000, 0.01, 0.003, 3.3333333333333335, 15, 0.5563037755711993, 0.9911266891680729
16, 1000, 0.01, 0.003, 3.3333333333333335, 16, 0.5645123435662215, 0.9871424221826363
16, 1000, 0.01, 0.004, 2.5, 1, 0.9902667068774674, 0.8713362772673292
16, 1000, 0.01, 0.004, 2.5, 2, 0.8703172800222336, 0.9240661213200825
16, 1000, 0.01, 0.004, 2.5, 3, 0.6227421834562347, 0.9959765727545472
16, 1000, 0.01, 0.004, 2.5, 4, 0.6217773622518734, 0.9924094576223513
16, 1000, 0.01, 0.004, 2.5, 5, 0.6205680555838661, 0.9964559113069568
16, 1000, 0.01, 0.004, 2.5, 6, 0.6181924584162503, 0.9990276556347272
16, 1000, 0.01, 0.004, 2.5, 7, 0.6179922604105658, 0.9976378429901868
16, 1000, 0.01, 0.004, 2.5, 8, 0.6180504858533777, 0.9975665057191074
16, 1000, 0.01, 0.004, 2.5, 9, 0.6327450947724731, 0.9959980678479905
16, 1000, 0.01, 0.004, 2.5, 10, 0.6149248800734299, 0.9966823707731732
16, 1000, 0.01, 0.004, 2.5, 11, 0.6143250315867148, 0.9929287189824365
16, 1000, 0.01, 0.004, 2.5, 12, 0.6133002394868943, 0.9894896071629476
16, 1000, 0.01, 0.004, 2.5, 13, 0.6127079931432118, 0.985725703168948
16, 1000, 0.01, 0.004, 2.5, 14, 0.616624988619395, 0.9826824879679981
16, 1000, 0.01, 0.004, 2.5, 15, 0.6168848369589449, 0.9812415354084629
16, 1000, 0.01, 0.004, 2.5, 16, 0.618540577762559, 0.97767193183949
16, 1000, 0.01, 0.005, 2.0, 1, 0.9918766498905836, 0.8699116452590786
16, 1000, 0.01, 0.005, 2.0, 2, 0.8635046220642538, 0.9265926565722857
16, 1000, 0.01, 0.005, 2.0, 3, 0.6718607206789649, 0.9968380281580099
16, 1000, 0.01, 0.005, 2.0, 4, 0.6880513449641965, 0.9918512492968311
16, 1000, 0.01, 0.005, 2.0, 5, 0.6708890148205141, 0.99634272063879
16, 1000, 0.01, 0.005, 2.0, 6, 0.6690331431957486, 0.9989581801987626
16, 1000, 0.01, 0.005, 2.0, 7, 0.6686794577802934, 0.9971215638477403
16, 1000, 0.01, 0.005, 2.0, 8, 0.6682791626466985, 0.9966176643852741
16, 1000, 0.01, 0.005, 2.0, 9, 0.6675034371068802, 0.99564637711732
