id, k, eigs, ri, voi
100007, 8, 2, 0.780027, 1.963221
100007, 8, 3, 0.823276, 1.703034
100007, 8, 4, 0.851256, 1.411421
100007, 8, 5, 0.862299, 1.494970
100007, 8, 6, 0.860986, 1.515078
100007, 8, 7, 0.792337, 1.841483
100007, 8, 8, 0.791753, 1.703661
100039, 11, 2, 0.787863, 2.717569
100039, 11, 4, 0.834591, 2.075353
100039, 11, 6, 0.820963, 2.048549
100039, 11, 8, 0.778024, 2.517231
100039, 11, 10, 0.767554, 2.412687
100039, 11, 11, 0.805576, 2.161503
100099, 6, 2, 0.717603, 2.587809
100099, 6, 3, 0.795556, 1.743554
100099, 6, 4, 0.776098, 1.860007
100099, 6, 5, 0.757839, 2.064168
100099, 6, 6, 0.732529, 1.945425
10081, 16, 2, 0.774512, 2.984469
10081, 16, 4, 0.810243, 2.399114
10081, 16, 6, 0.815547, 2.283609
10081, 16, 8, 0.816791, 2.255763
10081, 16, 10, 0.815607, 2.184157
10081, 16, 12, 0.784038, 2.287484
10081, 16, 14, 0.769603, 2.398018
10081, 16, 16, 0.776590, 2.312576
101027, 12, 2, 0.723140, 3.317713
101027, 12, 4, 0.755565, 2.556139
101027, 12, 6, 0.771602, 2.223034
101027, 12, 8, 0.745818, 2.466456
101027, 12, 10, 0.751358, 2.320369
101027, 12, 12, 0.743123, 2.261200
101084, 17, 2, 0.704281, 4.018793
101084, 17, 4, 0.739798, 3.260945
101084, 17, 6, 0.785470, 2.663710
101084, 17, 8, 0.812940, 2.491283
101084, 17, 10, 0.831650, 2.385169
101084, 17, 12, 0.823092, 2.332469
101084, 17, 14, 0.763955, 2.599445
101084, 17, 16, 0.662718, 2.791876
101084, 17, 17, 0.659157, 2.768635
102062, 37, 2, 0.585342, 5.256388
102062, 37, 6, 0.601414, 4.138038
102062, 37, 10, 0.600677, 4.092527
102062, 37, 14, 0.604150, 3.907273
102062, 37, 18, 0.601958, 3.782577
102062, 37, 22, 0.596385, 3.870953
102062, 37, 26, 0.589635, 3.840130
102062, 37, 30, 0.583517, 3.866883
102062, 37, 34, 0.574476, 3.964885
102062, 37, 37, 0.582166, 3.716650
103006, 7, 2, 0.675721, 2.966885
103006, 7, 3, 0.719416, 2.587625
103006, 7, 4, 0.704468, 2.662316
103006, 7, 5, 0.668154, 2.803654
103006, 7, 6, 0.655923, 2.831177
103006, 7, 7, 0.690919, 2.690793
103029, 9, 2, 0.605653, 3.178124
103029, 9, 3, 0.639524, 2.682578
103029, 9, 4, 0.660027, 2.461068
103029, 9, 5, 0.647723, 2.570204
103029, 9, 6, 0.647541, 2.574274
103029, 9, 7, 0.653883, 2.516031
103029, 9, 8, 0.665237, 2.322913
103029, 9, 9, 0.678247, 2.138203
103078, 13, 2, 0.778640, 2.982898
103078, 13, 4, 0.762889, 3.060405
103078, 13, 6, 0.783171, 2.498787
103078, 13, 8, 0.765251, 2.482452
103078, 13, 10, 0.736146, 2.499957
103078, 13, 12, 0.717407, 2.562215
103078, 13, 13, 0.724620, 2.590238
104010, 13, 2, 0.540563, 4.147251
104010, 13, 4, 0.553288, 3.642104
104010, 13, 6, 0.548691, 3.692151
104010, 13, 8, 0.557873, 3.554256
104010, 13, 10, 0.558917, 3.411818
104010, 13, 12, 0.552687, 3.378606
104010, 13, 13, 0.553763, 3.300658
104055, 16, 2, 0.706382, 3.292240
104055, 16, 4, 0.715562, 2.996379
104055, 16, 6, 0.712178, 2.868447
104055, 16, 8, 0.718263, 2.772324
104055, 16, 10, 0.718205, 2.721320
104055, 16, 12, 0.711387, 2.721863
104055, 16, 14, 0.702102, 2.764453
104055, 16, 16, 0.708987, 2.681259
105027, 5, 2, 0.447680, 2.536287
105027, 5, 3, 0.466185, 2.570299
